,A10,帳號詳細頁_簡訊鎖按鈕_標題,OpenLockTitle,簡訊鎖,简讯锁,SMS OTP,SMS認証,Khóa tin nhắn,,,,,,,,
,A11,帳號名稱變更_標題,ModifyAccountNameTitle,帳號名稱變更,帐号名称变更,Account Name Setting,アカウント名を変更します,Thay đổi tên nhân vật,,,,,,,,
,A12,關閉簡訊鎖alert_標題,CloseLockTitle,簡訊鎖關閉,简讯锁关闭,Turn off SMS OTP,SMS認証取消,Đóng chức năng khóa tin nhắn,,,,,,,,
,A13,關閉簡訊鎖alert_內容,CloseLockContent,若關閉簡訊鎖，帳號的安全度將下降。請問是否關閉簡訊鎖？,若关闭简讯锁，帐号的安全度将下降。请问是否关闭简讯锁？,Turn off the lock may decrease the safety of your account. Are you sure to continue?,SMS認証をオフにするとアカウントの安全性が低くなりますが、オフにしますか？,"Nếu đóng chức năng khóa tin nhắn, mức độ an toàn của tài khoản sẽ bị giảm, vẫn tiếp tục đóng chức năng khóa tin nhắn?",,,,,,,,
,B1,門號綁定_標題,BindingPhoneNumberTitle,綁定門號,绑定门号,Binding With Phone Number,携帯番号連携,Liên kết số điện thoại,,,,,,,,
,B2,門號綁定_內容,BindingContent,門號綁定將可確保帳號安全，並且變換裝置可使用門號登入再取回綁定帳號。,门号绑定将可确保帐号安全，并且变换装置可使用门号登入再取回绑定帐号。,"Account will be secured by binding with, and you can login through different devices.",携帯番号と連携できれば、アカウントの安全を確保できますし、端末を変えた場合でも連携したアカウントを使ってキャラクターを取り返すことが出来ます。,"Tiến hành liên kết tài khoản để đảm bảo an toàn cho tài khoản, vì vậy khi thay đổi thiết bị có thể sử dụng số điện thoại để lấy lại nhân vật đã liên kết",,,,,,,,
,B3,門號綁定_輸入欄標題,Location,所在地,所在地,Location,所在地,Vị trí,,,,,,,,
,B4,門號綁定_輸入欄內容,PhoneNumberSetContent,請輸入手機門號,请输入手机门号,Please enter the phone number.,携帯番号を入力してください,Mời nhập số điện thoại di động,,,,,,,,
,B5,門號綁定_按鈕,Binding,綁定,绑定,Confirm,連携します,Tiến hành liên kết,,,,,,,,
,B6,"取消綁定_標題
取消綁定_按鈕",CancelBinding,解除綁定,解除绑定,Remove Binding,連携を取消,Hủy bỏ liên kết,,,,,,,,
,B7,取消綁定_內容,CancelBindingContent,解除綁定將無法在手機門號的帳號角色清單進行管理，請問是否解除綁定？,解除绑定将无法在手机门号的帐号角色清单进行管理，请问是否解除绑定？,"After removing binding, you cannot edit your account list. Are you sure to continue?",連携を取り消すとアカウントリストでの管理が出来なくなりますが、取り消しますか？,Giải trừ liên kết sẽ không thể tiến hành quản lý danh sách tài khoản nhân vật thuộc số điện thoại di động. Có muốn giải trừ liên kết?,,,,,,,,
,B8,簡訊驗證_標題,VerificationCodeSetTitle,簡訊驗證,简讯验证,SMS verification code,SMS認証コード,Tin nhắn xác minh,,,,,,,,
/N,B9,簡訊驗證_輸入欄內容,VerificationCodeSetContent,請輸入驗證碼,请输入验证码,Please enter SMS verification code.,認証コードを入力して下さい,Mời nhập mã xác nhận số điện thoại di động,,,,,,,,
,B10,簡訊驗證_按鈕,Revalidate,重新驗證,重新验证,Revalidate,認証し直す,Xác nhận lại,,,,,,,,
,,,,,,,,,,,,,,,,
,D1,裝置管理頁_標題,DeviceManagement,裝置管理,装置管理,Device Setting,端末管理,Quản lý thiết bị,,,,,,,,
,D2,裝置管理的裝置狀態,DeviceState,目前使用,目前使用,In Use,使用中,đang sử dụng,,,,,,,,
,D3,刪除裝置alert_標題,DeleteDeviceTitle,刪除裝置,删除装置,Delete Device,端末を削除,Xóa bỏ thiết bị,,,,,,,,
N,D4,裝置管理頁_次數小標,deviceLoginTimes,次數,次数,Number of times,回数,Số lần,,,,,,,,
,D4,刪除裝置alert_內容,DeleteDeviceContent,若刪除登入的裝置，便無法在該裝置進行連線或遊戲。確定要刪除嗎？,若删除登入的装置，便无法在该装置进行连线或游戏。确定要删除吗？,"If you delete the logged-in device, it will not be able to connect or play games. Are you sure?",登録の端末を削除すれば、この端末でのオンラインゲームが出来なくなりますが、削除しますか？,"Nếu xóa bỏ thiết bị đăng nhập,càng không thể kết nối hay chơi tại thiết bị đó,bạn muốn xóa bỏ không?",,,,,,,,
,,,,,,,,,,,,,,,,
/N,E1,"錯誤訊息
server回代碼對應字串表的訊息顯示在client",PhoneNumberFormatError,門號格式不正確，請重新輸入,门号格式不正确，请重新输入,"The phone number format you entered is not correct, please enter again.","入力内容が間違っています。
もう一度入力してください。","Số điện thoại bạn nhập không đúng định dạng , mời nhập lại từ đầu",,,,,,,,
,E2,,PleaseLoginAgain,請重新登入,请重新登入,Please log in again.,再ログインして下さい。,Mời đăng nhập lại,,,,,,,,
,E3,,PleaseLoginGameCenter,請至 設定 > Game Center 做登入,请至 设定 > Game Center 做登入,"Please login in \""Game Center\"" of \""Setting\"".",設定 ＞ ゲームセンターでログインください。,Mời đến phần cài đặt > Game Center để đăng nhập,,,,,,,,
,E4,,PleaseReopen,請重新開啟應用程式,请重新开启应用程式,Please lauch M-app again,アプリ再起動ください。,Mời khởi động lại phần mềm ứng dụng,,,,,,,,
,E5,,OccurError,發生錯誤,发生错误,Error,エラー発生,Phát sinh lỗi,,,,,,,,
,E6,,CheckNetWorkError,請檢查網路連線是否順暢,请检查网路连线是否顺畅,Please check your internet condition,ネットワークの接続をご確認下さい。,Hãy kiểm tra sự ổn định của kết nối mạng,,,,,,,,
,E7,,ExceedLength,命名過長，請勿超過20字。,命名过长，请勿超过20字。,The character string is too long.,文字数制限オーバー,Tên đặt quá dài,,,,,,,,
,E8,,NotNamed,沒有命名,没有命名,You haven't named it,名前を付けてください,Không có tên,,,,,,,,
,E9,,NoDeviceList,目前沒有其他裝置，無法進行裝置管理。,目前没有其他装置，无法进行装置管理。,"System is unable to find other device, device management unavailable.",他の装置がありません。装置管理できません。,"Hiện tại không có các thiết bị khác, không thể tiến hành quản lí lắp đặt.",,,,,,,,
,E10,,ErrorNumber1,登入失敗,登入失败,Login failed,ログインできません,Đăng nhập thất bại,server錯誤代碼對照：,,,,,,,
,E11,,ErrorNumber2,資料錯誤,资料错误,Wrong info,エラー,Lỗi thông tin,http://192.168.12.29/MPlatform/MPlatform_API/wikis/api-fail,,,,,,,
,E12,,ErrorNumber3,驗證碼錯誤,验证码错误,Wrong security code,認証コードが正しくありません,Lỗi mã xác nhận,,,,,,,,
,E13,,ErrorNumber4,登入星城中,登入星城中,Logging in the Xin-star,星城にログイン中,Đang đăng nhập Đồng xu may mắn,,,,,,,,
,E14,,ErrorNumber5,點數不足,点数不足,Insufficient point,所持ポイントが足りません,Không đủ điểm,,,,,,,,
,E15,,ErrorNumber6,金幣不足,金币不足,Insufficient money,所持コインが足りません,Không đủ xu vàng,,,,,,,,
,E16,,ErrorNumber7,格式錯誤,格式错误,Wrong format,フォーマットが正しくありません,Lỗi định dạng,,,,,,,,
app不會有,E17,,ErrorNumber8,此帳號不得解除綁定,此帐号不得解除绑定,This account is unable to remove binding,このアカウントは連携の取消ができません,Không thể hủy liên kết tài khoản này,,,,,,,,
,E18,,ErrorNumber10,查無此裝置,查无此装置,Unapproved Device,端末が見つかりません,Kiểm tra không có thiết bị này,,,,,,,,
,E19,,ErrorNumber11,驗證碼失效請重新驗證！,验证码失效请重新验证！,This security code is invalid. Please apply an new one.,認証コード失効、もう一回認証してください。,Mã xác nhận đã hết hạn mời xác nhận lại,,,,,,,,
,E20,,ErrorNumber12,驗證失敗，請洽詢客服人員或稍後再試。,验证失败，请洽询客服人员或稍后再试。,"Verification failed, Please contact customer service center or try it later.",認証失敗、カスタマーサポートに連絡し、またはしばらくしてからもう一度お試しください。,"Xác thực thất bại, vui lòng liên hệ trung tâm chăm sóc khách hàng hoặc thử lại sau.",,,,,,,,
,E21,,ErrorNumber13,帳號異常，請洽詢客服人員或稍後再試。,帐号异常，请洽询客服人员或稍后再试。,"Account info error, please contact customer service center or try it later.",アカウントエラー、カスタマーサポートに連絡し、またはしばらくしてからもう一度お試しください。,"Tài khoản bất thường, vui lòng liên hệ trung tâm chăm sóc khách hàng hoặc thử lại sau.",,,,,,,,
,E22,,ErrorNumber14,資料異動失敗，請洽詢客服人員或稍後再試。,资料异动失败，请洽询客服人员或稍后再试。,"Data updation failed, please contact customer service center or try it later.",データ変更失敗、カスタマーサポートに連絡し、またはしばらくしてからもう一度お試しください。,"Thay đổi thông tin thất bại, vui lòng liên hệ trung tâm chăm sóc khách hàng hoặc thử lại sau.",,,,,,,,
N,E23,,ErrorNumber15,逾時,逾时,Timeout,タイムアウト,Timeout,,,,,,,,
N,E24,,ErrorNumber16,發現網路連線異動，請稍後再試。,发现网路连线异动，请稍后再试。,"Network connection change detected, Please try again later.",接続異常のため、しばらく経ってからもう一度お試しください。,"Network connection change detected, Please try again later.",190808新增,,,,,,,
N,E25,,ErrorNumber17,簡訊驗證異常，請稍後再試。,简讯验证异常，请稍后再试。,"Message verification error occurred, Please try again later.",メッセージの検証に異常が発生したため、しばらく経ってからもう一度お試しください。,"Message verification error occurred, Please try again later.",190813新增,,,,,,,
,E26,,ErrorNumber254,參數錯誤,参数错误,Technical error,パラメータエラー,Lỗi tham số,,,,,,,,
,E27,,ErrorNumber255,其他錯誤,其他错误,Other error,その他エラー,Những lỗi khác,,,,,,,,
,E28,,ErrorCloudNumber1,參數錯誤，請洽詢客服人員,参数错误，请洽询客服人员,"Technical error, Please contact customer service center.",パラメーターエラー、CSに連絡してください,"Lỗi tham số, Mời liên hệ với nhân viên CSKH",,,,,,,,
,E29,,ErrorCloudNumber2,檔案上傳失敗,档案上传失败,Upload failed,アップロードエラー,Dữ liệu tải lên thất bại,,,,,,,,
,E30,,ErrorCloudNumber3,資料寫入失敗,资料写入失败,Edit failed,データ記入エラー,Tư liệu nhập thất bại,,,,,,,,
,E31,,ErrorNodata,無記錄,无记录,No Record,記録なし,Không có nhật ký,,,,,,,,
,E32,照片錯誤訊息,UploadImageError,格式錯誤,格式错误,format error,フォーマットエラー,Định dạng sai,,,,,,,,
,E33,照片錯誤訊息(尺寸過小),UploadImageSizeError,上傳的格式小於300*300,上传的格式小于300*300,upload image lower than 300*300,アップした画像のサイズは300*300以上なければなりません,Định dạng tải lên <=300*300,電商web版用,,,,,,,
,,,,,,,,,,,,,,,,
,S1,系統通知小視窗_標題,UnableLoginGameTitle,系統通知,系统通知,Announcement,システム通知,Thông báo hệ thống,,,,,,,,
,S2,系統通知小視窗_內容,UnableLoginGameContent,請登出開啟中的遊戲或應用程式，才能再次登入。,请登出开启中的游戏或应用程式，才能再次登入。,Please log out the ongoing game or application for login.,ログイン中のゲームかアプリからログアウトしてから、再度ログインしてください。,Mời đến trò chơi vừa mới mở hoặc phần mềm ứng dụng rồiđăng xuất tài khoản để thuận tiện đăng nhập,,,,,,,,
,S3,登入驗證小視窗_標題,LoginGameVerificationCodeTitle,登入簡訊驗證,登入简讯验证,Login with the vertified code.,SMS認証にログインします,Tin nhắn xác nhận đăng nhập,,,,,,,,
,S4,預設暱稱,accountPlaynow,帳號-立即玩,游客,Guest,ゲスト,Chơi ngay,,,,,,,,
,S5,預設暱稱,accountPhoneNumber,帳號-01,账号-01,Account-01,アカウント-01,Tài khoản-01,,,,,,,,
